SDG_id,SDG_keywords,match_tpye
SDG3_9,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=3\.9[\.]{0,1})",direct
SDG3_a,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=3\.a[\.]{0,1})",direct
SDG3_b,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=3\.b[\.]{0,1})",direct
SDG3_c,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=3\.c[\.]{0,1})",direct
SDG3_d,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=3\.d[\.]{0,1})",direct
SDG4_1,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=4\.1[\.]{0,1})",direct
SDG4_2,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=4\.2[\.]{0,1})",direct
SDG4_3,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=4\.3[\.]{0,1})",direct
SDG4_4,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=4\.4[\.]{0,1})",direct
SDG4_5,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=4\.5[\.]{0,1})",direct
SDG4_6,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=4\.6[\.]{0,1})",direct
SDG4_7,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=4\.7[\.]{0,1})",direct
SDG4_a,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=4\.a[\.]{0,1})",direct
SDG4_b,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=4\.b[\.]{0,1})",direct
SDG4_c,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=4\.c[\.]{0,1})",direct
SDG5_1,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=5\.1[\.]{0,1})",direct
SDG5_2,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=5\.2[\.]{0,1})",direct
SDG5_3,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=5\.3[\.]{0,1})",direct
SDG5_4,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=5\.4[\.]{0,1})",direct
SDG5_5,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=5\.5[\.]{0,1})",direct
SDG5_6,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=5\.6[\.]{0,1})",direct
SDG5_a,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=5\.a[\.]{0,1})",direct
SDG5_b,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=5\.b[\.]{0,1})",direct
SDG5_c,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=5\.c[\.]{0,1})",direct
SDG6_1,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=6\.1[\.]{0,1})",direct
SDG6_2,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=6\.2[\.]{0,1})",direct
SDG6_3,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=6\.3[\.]{0,1})",direct
SDG6_4,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=6\.4[\.]{0,1})",direct
SDG6_5,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=6\.5[\.]{0,1})",direct
SDG6_6,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=6\.6[\.]{0,1})",direct
SDG6_a,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=6\.a[\.]{0,1})",direct
SDG6_b,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=6\.b[\.]{0,1})",direct
SDG7_1,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=7\.1[\.]{0,1})",direct
SDG7_2,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=7\.2[\.]{0,1})",direct
SDG7_3,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=7\.3[\.]{0,1})",direct
SDG7_a,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=7\.a[\.]{0,1})",direct
SDG7_b,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=7\.b[\.]{0,1})",direct
SDG8_1,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=8\.1[\.]{0,1})",direct
SDG8_2,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=8\.2[\.]{0,1})",direct
SDG8_3,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=8\.3[\.]{0,1})",direct
SDG8_4,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=8\.4[\.]{0,1})",direct
SDG8_5,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=8\.5[\.]{0,1})",direct
SDG8_6,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=8\.6[\.]{0,1})",direct
SDG8_7,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=8\.7[\.]{0,1})",direct
SDG8_8,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=8\.8[\.]{0,1})",direct
SDG8_9,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=8\.9[\.]{0,1})",direct
SDG8_10,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=8\.10[\.]{0,1})",direct
SDG8_a,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=8\.a[\.]{0,1})",direct
SDG8_b,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=8\.b[\.]{0,1})",direct
SDG9_1,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=9\.1[\.]{0,1})",direct
SDG9_2,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=9\.2[\.]{0,1})",direct
SDG9_3,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=9\.3[\.]{0,1})",direct
SDG9_4,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=9\.4[\.]{0,1})",direct
SDG9_5,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=9\.5[\.]{0,1})",direct
SDG9_a,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=9\.a[\.]{0,1})",direct
SDG9_b,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=9\.b[\.]{0,1})",direct
SDG9_c,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=9\.c[\.]{0,1})",direct
SDG10_1,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=10\.1[\.]{0,1})",direct
SDG10_2,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=10\.2[\.]{0,1})",direct
SDG10_3,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=10\.3[\.]{0,1})",direct
SDG10_4,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=10\.4[\.]{0,1})",direct
SDG10_5,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=10\.5[\.]{0,1})",direct
SDG10_6,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=10\.6[\.]{0,1})",direct
SDG10_7,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=10\.7[\.]{0,1})",direct
SDG10_a,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=10\.a[\.]{0,1})",direct
SDG10_b,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=10\.b[\.]{0,1})",direct
SDG10_c,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=10\.c[\.]{0,1})",direct
SDG11_1,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=11\.1[\.]{0,1})",direct
SDG11_2,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=11\.2[\.]{0,1})",direct
SDG11_3,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=11\.3[\.]{0,1})",direct
SDG11_4,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=11\.4[\.]{0,1})",direct
SDG11_5,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=11\.5[\.]{0,1})",direct
SDG11_6,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=11\.6[\.]{0,1})",direct
SDG11_7,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=11\.7[\.]{0,1})",direct
SDG11_a,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=11\.a[\.]{0,1})",direct
SDG11_b,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=11\.b[\.]{0,1})",direct
SDG11_c,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=11\.c[\.]{0,1})",direct
SDG12_1,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=12\.1[\.]{0,1})",direct
SDG12_2,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=12\.2[\.]{0,1})",direct
SDG12_3,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=12\.3[\.]{0,1})",direct
SDG12_4,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=12\.4[\.]{0,1})",direct
SDG12_5,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=12\.5[\.]{0,1})",direct
SDG12_6,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=12\.6[\.]{0,1})",direct
SDG12_7,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=12\.7[\.]{0,1})",direct
SDG12_8,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=12\.8[\.]{0,1})",direct
SDG12_a,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=12\.a[\.]{0,1})",direct
SDG12_b,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=12\.b[\.]{0,1})",direct
SDG12_c,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=12\.c[\.]{0,1})",direct
SDG13_1,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=13\.1[\.]{0,1})",direct
SDG13_2,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=13\.2[\.]{0,1})",direct
SDG13_3,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=13\.3[\.]{0,1})",direct
SDG13_a,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=13\.a[\.]{0,1})",direct
SDG13_b,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=13\.b[\.]{0,1})",direct
SDG14_1,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=14\.1[\.]{0,1})",direct
SDG14_2,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=14\.2[\.]{0,1})",direct
SDG14_3,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=14\.3[\.]{0,1})",direct
SDG14_4,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=14\.4[\.]{0,1})",direct
SDG14_5,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=14\.5[\.]{0,1})",direct
SDG14_6,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=14\.6[\.]{0,1})",direct
SDG14_7,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=14\.7[\.]{0,1})",direct
SDG14_a,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=14\.a[\.]{0,1})",direct
SDG14_b,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=14\.b[\.]{0,1})",direct
SDG14_c,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=14\.c[\.]{0,1})",direct
SDG15_1,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=15\.1[\.]{0,1})",direct
SDG15_2,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=15\.2[\.]{0,1})",direct
SDG15_3,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=15\.3[\.]{0,1})",direct
SDG15_4,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=15\.4[\.]{0,1})",direct
SDG15_5,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=15\.5[\.]{0,1})",direct
SDG15_6,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=15\.6[\.]{0,1})",direct
SDG15_7,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=15\.7[\.]{0,1})",direct
SDG15_8,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=15\.8[\.]{0,1})",direct
SDG15_9,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=15\.9[\.]{0,1})",direct
SDG15_a,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=15\.a[\.]{0,1})",direct
SDG15_b,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=15\.b[\.]{0,1})",direct
SDG15_c,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=15\.c[\.]{0,1})",direct
SDG16_1,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=16\.1[\.]{0,1})",direct
SDG16_2,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=16\.2[\.]{0,1})",direct
SDG16_3,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=16\.3[\.]{0,1})",direct
SDG16_4,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=16\.4[\.]{0,1})",direct
SDG16_5,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=16\.5[\.]{0,1})",direct
SDG16_6,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=16\.6[\.]{0,1})",direct
SDG16_7,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=16\.7[\.]{0,1})",direct
SDG16_8,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=16\.8[\.]{0,1})",direct
SDG16_9,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=16\.9[\.]{0,1})",direct
SDG16_10,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=16\.10[\.]{0,1})",direct
SDG16_a,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=16\.a[\.]{0,1})",direct
SDG16_b,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=16\.b[\.]{0,1})",direct
SDG17_1,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=17\.1[\.]{0,1})",direct
SDG17_2,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=17\.2[\.]{0,1})",direct
SDG17_3,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=17\.3[\.]{0,1})",direct
SDG17_4,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=17\.4[\.]{0,1})",direct
SDG17_5,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=17\.5[\.]{0,1})",direct
SDG17_6,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=17\.6[\.]{0,1})",direct
SDG17_7,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=17\.7[\.]{0,1})",direct
SDG17_8,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=17\.8[\.]{0,1})",direct
SDG17_9,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=17\.9[\.]{0,1})",direct
SDG17_10,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=17\.10[\.]{0,1})",direct
SDG17_11,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=17\.11[\.]{0,1})",direct
SDG17_12,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=17\.12[\.]{0,1})",direct
SDG17_13,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=17\.13[\.]{0,1})",direct
SDG17_14,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=17\.14[\.]{0,1})",direct
SDG17_15,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=17\.15[\.]{0,1})",direct
SDG17_16,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=17\.16[\.]{0,1})",direct
SDG17_17,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=17\.17[\.]{0,1})",direct
SDG17_18,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=17\.18[\.]{0,1})",direct
SDG17_19,"(sdg|goal|target|indicator)[^0-9]{0,2}(?=17\.19[\.]{0,1})",direct
SDG1_1,^(?=.*(?:poverty|\bpoor\S*|impover\S*|destitution.?|underprivileg\S*|necessitous\S*|homeless|\bhobo.?|low.?income|lower.?income|underclass\S*))(?=.*(?:alleviat\S*|\babate\S*|abridge\S*|\bavert\S*|abolish\S*|eradicat\S*|eliminat\S*|\beras\S*|\bease\S*|\bend.?\b|\bended\b|rid of|phase out|\bwipe out|\breduc\S*|\bcut.?\b|\bcurb\S*|curtail\S*|declin\S*|decreas\S*|diminish\S*|diminution\S*|\bdrop\S*|dwindl\S*|\bfade\b|fall off|go down|goes down|went down|tone down|die down|cut down|\bhalt\S*|hinder\S*|\bhamper\S*|impede\S*|\binhibit.?\b|\binhibited\b|\binhibiting|lessen\S*|mitigat\S*|slash\S*|shrink\S*|\bstop\S*|slump\S*|\btrim\S*|weaken\S*|\bno\b|\bzero|prevent\S*|prohibit\S*|minimis\S*|minimiz\S*))(?=.*(?:extreme|\bmost\b|excess\S*|exceeding|\bhigh\b|\bhuge\b|great|\bover\b|remarkabl\S*|striking|\bsevere|serious)).+,indirect
SDG1_2,^(?=.*(?:poverty|\bpoor\S*|impover\S*|destitution.?|underprivileg\S*|necessitous\S*|homeless|\bhobo.?|low.?income|lower.?income|underclass\S*))(?=.*(?:alleviat\S*|\babate\S*|abridge\S*|\bavert\S*|abolish\S*|eradicat\S*|eliminat\S*|\beras\S*|\bease\S*|\bend.?\b|\bended\b|rid of|phase out|\bwipe out|\breduc\S*|\bcut.?\b|\bcurb\S*|curtail\S*|declin\S*|decreas\S*|diminish\S*|diminution\S*|\bdrop\S*|dwindl\S*|\bfade\b|fall off|go down|goes down|went down|tone down|die down|cut down|\bhalt\S*|hinder\S*|\bhamper\S*|impede\S*|\binhibit.?\b|\binhibited\b|\binhibiting|lessen\S*|mitigat\S*|slash\S*|shrink\S*|\bstop\S*|slump\S*|\btrim\S*|weaken\S*|\bno\b|\bzero|prevent\S*|prohibit\S*|minimis\S*|minimiz\S*)).+,indirect
SDG1_3,^(?=.*(?:poverty|\bpoor\S*|impover\S*|destitution.?|underprivileg\S*|necessitous\S*|homeless|\bhobo.?|low.?income|lower.?income|underclass\S*|the vulnerable.?))(?=.*(?:assure|\bcare.?\b|\bcover\S*|preserve\S*|protect\S*|safeguard\S*|secure|shelter.?|shield\S*|support\S*)).+,indirect
SDG1_4,^(?!.*(?:Financial risk\S*|Financial Disclosure\S*|Financial Stability|financial sector\S*|financial group\S*|financial crisis|financial condition\S*|financial impact\S*|financial inclusive\S*|financial statement\S*|Financial Times|financial press|financial result\S*|financial instrument\S*|Financial Review\S*|financial assumption\S*|finance corporation\S*|Access Bank|voting right\S*|human resource\S*))(?=.*(?:access to|\brights to))(?=.*(?:resource.?\b|basic service.?|property|inheritance|ownership|\bland|financial service.?|\bestate\S*|\bhome\b|\bhouse\b|\bhouses\b|\bhousing\b|\bfarms)).+,indirect
SDG1_5,^(?=.*(?:poverty|\bpoor\S*|impover\S*|destitution.?|underprivileg\S*|necessitous\S*|homeless|\bhobo.?|low.?income|lower.?income|underclass\S*|vulnerab\S*))(?=.*(?:shock\S*|disaster.?|catastroph\S*|cataclysm|casualt\S*|calamit\S*|hazard\S*|mishap\S*|hurricane\S*|tornado\S*|cyclone\S*|flood\S*|drought\S*|\bharm.?\b|\bharmed\b|wild.?fire|fire.?storm|Extreme event.?|extreme climate|extreme weather|extreme temperature|extreme heat|heat.?wave|cold wave|extreme precipitation|lightning|thunderstorm.?|ice storm.?|blizzard\S*|hailstorm\S*|tropical storm.?|earthquake.?|volcanic eruption.?|limnic eruption.?|exploding lake.?|landslide.?|mudslide.?|debris flow.?|tsunami\S*|sinkhole\S*|subsidence\S*))(?=.*(?:alleviat\S*|\babate\S*|abridge\S*|\bavert\S*|abolish\S*|eradicat\S*|eliminat\S*|\beras\S*|\bease\S*|\bend.?\b|\bended\b|rid of|phase out|\bwipe out|\breduc\S*|\bcut.?\b|\bcurb\S*|curtail\S*|declin\S*|decreas\S*|diminish\S*|diminution\S*|\bdrop\S*|dwindl\S*|\bfade\b|fall off|go down|goes down|went down|tone down|die down|cut down|\bhalt\S*|hinder\S*|\bhamper\S*|impede\S*|\binhibit.?\b|\binhibited\b|\binhibiting|lessen\S*|mitigat\S*|slash\S*|shrink\S*|\bstop\S*|slump\S*|\btrim\S*|weaken\S*|\bno\b|\bzero|prevent\S*|prohibit\S*|minimis\S*|minimiz\S*)).+,indirect
SDG1_a,^(?=.*(?:poverty|\bpoor\S*|impover\S*|destitution.?|underprivileg\S*|necessitous\S*|homeless|\bhobo.?|low.?income|lower.?income|underclass\S*))(?=.*(?:econom\S*|financ\S*|develop\S*))(?=.*(?:financ\S*|\bfund.?\b|\bfunding\b|\bassist\S*|budget\S*|\baid.? to|government aid|state aid|federal aid|national aid|invest\S*|compensation\S*|donor\S*|donat\S*|expenditure.?|\bgrant.?\b|\bloan.?\b|official flow.?|\bsubsidy|\bsubsidies|\bsubsidiz\S*|\bsubsidis|Corporate sponsorship.?|support\S*|transfer.?\b|boost\S*|bolster\S*|\bstimulat\S*|\bfortif\S*|help\S*|strengthen\S*|enhanc\S*|aggrandiz\S*|reinforce\S*|uphold|empower\S*|relie\S*|program\S*|\bpolicy|\bpolicies)).+,indirect
SDG1_a,^(?=.*(?:government\S*))(?=.*(?:expenditure\S*|\bspend\S*))(?=.*(?:essential service.?|education\S*|health|social protection.?)).+,indirect
SDG1_a,^(?=.*(?:development cooperation.?))(?=.*(?:program\S*|\bpolicy|\bpolicies))(?=.*(?:alleviat\S*|\babate\S*|abridge\S*|\bavert\S*|abolish\S*|eradicat\S*|eliminat\S*|\beras\S*|\bease\S*|\bend.?\b|\bended\b|rid of|phase out|\bwipe out|\breduc\S*|\bcut.?\b|\bcurb\S*|curtail\S*|declin\S*|decreas\S*|diminish\S*|diminution\S*|\bdrop\S*|dwindl\S*|\bfade\b|fall off|go down|goes down|went down|tone down|die down|cut down|\bhalt\S*|hinder\S*|\bhamper\S*|impede\S*|\binhibit.?\b|\binhibited\b|\binhibiting|lessen\S*|mitigat\S*|slash\S*|shrink\S*|\bstop\S*|slump\S*|\btrim\S*|weaken\S*|\bno\b|\bzero|prevent\S*|prohibit\S*|minimis\S*|minimiz\S*))(?=.*(?:poverty|\bpoor\S*|impover\S*|destitution.?|underprivileg\S*|necessitous\S*|homeless|\bhobo.?|low.?income|lower.?income|underclass\S*)).+,indirect
SDG1_b,^(?=.*(?:poverty|\bpoor\S*|impover\S*|destitution.?|underprivileg\S*|necessitous\S*|homeless|\bhobo.?|low.?income|lower.?income|underclass\S*))(?=.*(?:alleviat\S*|\babate\S*|abridge\S*|\bavert\S*|abolish\S*|eradicat\S*|eliminat\S*|\beras\S*|\bease\S*|\bend.?\b|\bended\b|rid of|phase out|\bwipe out|\breduc\S*|\bcut.?\b|\bcurb\S*|curtail\S*|declin\S*|decreas\S*|diminish\S*|diminution\S*|\bdrop\S*|dwindl\S*|\bfade\b|fall off|go down|goes down|went down|tone down|die down|cut down|\bhalt\S*|hinder\S*|\bhamper\S*|impede\S*|\binhibit.?\b|\binhibited\b|\binhibiting|lessen\S*|mitigat\S*|slash\S*|shrink\S*|\bstop\S*|slump\S*|\btrim\S*|weaken\S*|\bno\b|\bzero|prevent\S*|prohibit\S*|minimis\S*|minimiz\S*))(?=.*(?:action.?|activit\S*|administ\S*|agreement.?|approach\S*|arrangement.?|blueprint.?|\bdeal.?|\bguide\S*|govern\S*|method.?|manag\S*|\bpolicy|\bpolicies|\bplan\b|\bplans\b|planning|proced\S*|program\S*|project.?\b|practice.?|procedure.?|propos\S*|protocol.?|\brule.?\b|\bregulat\S*|\blaw.?|\btreat\S*|\bright.?|constitution.?|initiative.?|scheme.?|strateg\S*|financ\S*|\bfund.?\b|\bfunding\b|\bassist\S*|budget\S*|\baid.? to|government aid|state aid|federal aid|national aid|invest\S*|compensation\S*|donor\S*|donat\S*|expenditure.?|\bgrant.?\b|\bloan.?\b|official flow.?|\bsubsidy|\bsubsidies|\bsubsidiz\S*|\bsubsidis|Corporate sponsorship.?|support\S*|transfer.?\b|boost\S*|bolster\S*|\bstimulat\S*|\bfortif\S*|help\S*|strengthen\S*|enhanc\S*|aggrandiz\S*|reinforce\S*|uphold)).+,indirect
